Kelas;Soal;A;B;C;D;E;Jawaban;;
4;Gambar ketupat biasa digunakan sebagai gambar dekoratif pada ...;Kartu ulang tahun;Kartu Penduduk;Kartu Lebaran;Kartu natal;#;C;;
4;Notasi 3 4 6 7 di baca...;Do re mi fa;Re mi fa sol;Fa sol la si;Mi fa la si;#;C;;
4;Notasi sol fa mi re di tulis...;1 2 4 5;5 4 3 2;6 7 4 3;1 2 3 4;#;B;;
4;Lagu gundul-gundul pacul termasuk jenis lagu...;Lagu wajib;Lagu anak-anak;Lagu daerah;Lagu dangdut;#;C;;
4;Seorang pencipta lagu disebut ...;Komponis;Dirigen;Mayoret;Koreografer;#;A;;
4;Lagu Indonesia Raya diciptakan oleh ...;W.R Supratman;Kusbini;Sudarnoto;Simanjuntak;#;A;;
4;Menggerakkan seluruh anggota badan di sebut...;Menggabar;Menyanyi;Menulis;Menari;#;D;;
4;Tari perorangan dibawakan oleh ... penari.;4;3;2;1;#;D;;
4;Tari Malinting berasal dari ...;Jawa Tengah;Jawa Barat;Lampung;Jakarta;#;C;;
4;Bahan untuk membuat benda konstruksi adalah ...;udara;kayu;tanah;air;#;B;;
4;Untuk membuat kepala boneka dibutuhkan bahan ...;bola pingpong;batu;kertas manila;daun;#;A;;
4;Alat untuk memotong kain atau kertas adalah ...;tang;palu;pisau;gunting;#;D;;
4;Kertas karton dapat dibuat bahan kerajinan berupa ...;lukisan;topeng;arca;gambar;#;B;;
4;Bahan yang digunakan untuk membuat baju boneka adalah ...;tanah padas;batu;kotak bekas;kertas HVS;#;C;;
4;Karya seni rupa dapat dibedakan menjadi ...kelompok;4;3;2;1;#;C;;
4;Lukisan dan patung termasuk seni rupa ...;praktis;terapan;estetis;murni;#;D;;
4;Lagu yang berasal dari Sulawesi Utara adalah lagu ...;O ina Ni Keke;Angin Mamiri;Apuse;Soleram;#;A;;
4;Berikut ini yang termasuk alat musik ritmis adalah ...;piano;gitar;rebana;harmonika;#;C;;
4;Contoh tarian dari Jawa Tengah adalah ...;topeng Betawi;reog;gambyong;kecak;#;C;;
4;Tari monong berasal dari daerah ...;Sumatera Barat;Nusa Tenggara Barat;Kalimantan Barat;Sulawesi Tenggara;#;C;;
4;Setiap tarian memiliki busana yang khas dan disesuaikan dengan ...;warna kulit;watak/karakter;tinggi badan;status sosial;#;B;;
4;Tari tunggal dibawakan oleh ...penari;1;2;3;4;#;A;;
4;Batik merupakan gambar yang dibuat pada ...;kain;kayu;tripleks;plastik;#;A;;
4;Bahan untuk membuat kerajinan seni ukir yaitu ...;udara;kayu;tanah;air;#;B;;
4;Jika ingin menggambar tumbuh-tumbuhan sebaiknya mengamati ...;binatang;pepohonan;rumah;jalan raya;#;B;;
4;Rumah gadang adalah rumah adat dari daerah ...;Jawa;Bali;Sumatera Barat;Aceh;#;C;;
4;Suasana hutan terbentuk dari ...;"baju, topi, dan lemari";"pohon, binatang, dan tumbuhan";"manusia, gedung, dan jalan raya";"anak-anak, nasi tumpeng, dan topi ulang tahun";#;B;;
4;Benda ini memiliki ... berwarna hitam dan putih.;ragam hias;bentuk;tulisan;bahan;#;A;;
4;Bentuk pohon yang menguncup seperti pohon natal adalah pohon ...;kelapa;pisang;cemara;nangka;#;C;;
4;"Kain yang direntangkan dengan nama pameran, tempat, dan waktu pameran disebut ...";spanduk;poster;undangan;umbul-umbul;#;A;;
4;Lagu Lir ilir adalah lagu daerah yang berasal dari ...;Sumatera Barat;Jakarta;Yogyakarta;Aceh;#;C;;
4;Karya musik terdiri dari berbagai macam. Karya musik yang terdiri dari syair dan melodi disebut ...;puisi;teaterikal;duet;lagu;#;D;;
4;Alat musik rebana dimainkan dengan cara ...;digesek;ditiup;dipukul;dipetik;#;C;;
4;Lagu yang memiliki irama dan latar belakang daerah disebut ...;lagu nasional;lagu wajib;lagu daerah;lagu kebangsaan;#;C;;
4;Ketipung dipukul dengan ...;kaki;lutut;tangan;tongkat;#;C;;
4;Alat musik ritmis yang dimainkan dengan cara dipukul adalah ...;kastanyet;ringbell;tamborin;triangel;#;A;;
4;Tifa adalah alat musik ritmis yang dibunyikan dengan cara ...;ditiup;digesek;dipukul;dipetik;#;C;;
4;Lagu gembira dinyanyikan dengan wajah ...;pucat;gembira;sedih;cuek saja;#;B;;
4;Pendukung penampilan wajah dipelajari dalam ...;gerak tari;busana tari;iringan tari;musik tari;#;B;;
4;Salah satu properti tari Tani adalah ...;cangkul;payung;pedang;piring;#;A;;
4;Tari Gabor adalah tarian yang berasal dari ...;Bali;Surakarta;Sumatera;Aceh;#;A;;
4;Tari putri Bekhusek adalah tarian yang menceritakan tentang ...;seorang puteri yang sedang bermain;peperangan;persabatan pangeran dan angsa;nenek dan cucu di hutan;#;A;;
4;Membuat kancing baju menggunakan tusuk ...;feston;jelujur;silang;kelim;#;A;;
4;Penyebaran informasi pameran yang kurang efektif adalah melalui ...;pamflet;internet;pengumuman;bisik-bisik;#;D;;
4;Tusuk yang hasil tusukannya seperti rantai disebut ...;tusuk silang;tusuk jelujur;tusuk tikam jejak;tusuk rantai;#;D;;
4;Bahan konstruksi ini memiliki ... kasar.;garis;warna;tekstur;dimensi;#;C;;
4;Hasil kerajinan patung didapatkan dari teknik ...;mewarnai;menatah;mengelem;menggunting;#;B;;
4;Bahan bekas dari sabun mandi yang dapat digunakan sebagai bahan konstruksinya adalah ...;plastik bungkusnya;kardus sabun;sabun;label harga sabun;#;C;;
4;Motif poleng banyak dijumpai di daerah ...;Jawa Barat;Jawa Timur;Bali;Sumatera;#;C;;
